credit_amt_median,number_of_credit_median,prob0,prob1
562523.3,0.5,0.47271470006338717,0.5272852999366128
562523.3,1.5,0.4774207180038801,0.5225792819961199
562523.3,2.5,0.4820306947619139,0.517969305238086
562523.3,3.5,0.48819653867578416,0.5118034613242158
562523.3,4.5,0.5044467067478535,0.49555329325214653
562523.3,5.5,0.5641843222373754,0.4358156777626246
562523.3,6.5,0.6140873206430918,0.38591267935690826
562523.3,7.5,0.651716255930543,0.348283744069457
562523.3,8.5,0.6832753884865831,0.31672461151341696
562523.3,9.5,0.7102821689940646,0.28971783100593534
562523.3,10.5,0.7331975951287912,0.26680240487120876
562523.3,11.5,0.7520408751272546,0.24795912487274543
562523.3,12.5,0.770576823341849,0.229423176658151
562523.3,13.5,0.7898426845431321,0.21015731545686792
562523.3,14.5,0.809435085764776,0.19056491423522406
562523.3,15.5,0.8314093083114039,0.16859069168859608
562523.3,16.5,0.8457386527342925,0.15426134726570753
562523.3,17.5,0.856668139298131,0.14333186070186896
562523.3,18.5,0.8688461612339371,0.13115383876606287
562523.3,19.5,0.8777971994391195,0.12220280056088051
562523.3,20.5,0.8853460363803999,0.11465396361960009
562523.3,21.5,0.8955648181940417,0.1044351818059584
562523.3,22.5,0.9053994352778472,0.09460056472215286
562523.3,23.5,0.9141775993546033,0.08582240064539674
562523.3,24.5,0.9215151456944738,0.07848485430552621
562523.3,25.5,0.92689345191218,0.07310654808782006
562523.3,26.5,0.9314650121972302,0.06853498780276983
562523.3,27.5,0.9357484489349033,0.06425155106509671
562523.3,28.5,0.9419142928487736,0.05808570715122645
562523.3,29.5,0.9455254413092334,0.0544745586907666
562523.3,30.5,0.9488676744588079,0.05113232554119206
562523.3,31.5,0.9509037475269395,0.049096252473060445
562523.3,32.5,0.9529398205950712,0.047060179404928834
562523.3,33.5,0.9550719348456618,0.04492806515433818
562523.3,34.5,0.9572424655692361,0.04275753443076391
562523.3,35.5,0.9593745798198268,0.04062542018017326
562523.3,36.5,0.9614682775974338,0.03853172240256622
562523.3,37.5,0.9630817694627456,0.036918230537254376
562523.3,38.5,0.9648105107470083,0.03518948925299168
562523.3,39.5,0.9661166708284512,0.03388332917154876
562523.3,40.5,0.968037494477632,0.03196250552236799
562523.3,41.5,0.9698238604713701,0.030176139528629877
562523.3,42.5,0.9721288488503871,0.027871151149612954
562523.3,43.5,0.9745106701753712,0.0254893298246288
562523.3,44.5,0.9768732832638636,0.023126716736136456
562523.3,45.5,0.9782178598182901,0.021782140181709916
562523.3,46.5,0.9793895622442903,0.02061043775570965
562523.3,47.5,0.9803499740688807,0.019650025931119263
562523.3,48.5,0.9810030541096022,0.018996945890397802
562523.3,49.5,0.9815600929678646,0.01843990703213538
562523.3,50.5,0.981925049461209,0.018074950538791032
562523.3,51.5,0.9824052553735042,0.01759474462649584
562523.3,52.5,0.9826741706843894,0.017325829315610535
562523.3,53.5,0.9829622942317666,0.017037705768233418
562523.3,54.5,0.98321200130616,0.016787998693839918
562523.3,55.5,0.983615374272488,0.016384625727511957
562523.3,56.5,0.984018747238816,0.015981252761183996
562523.3,57.5,0.9848831178809474,0.01511688211905265
562523.3,58.5,0.9859395708879968,0.014060429112003227
562523.3,59.5,0.9865926509287183,0.013407349071281766
562523.3,60.5,0.9873033556789151,0.012696644321084881
562523.3,61.5,0.9881677263210464,0.011832273678953535
562523.3,62.5,0.9885518910508826,0.011448108949117382
562523.3,63.5,0.9891473463821286,0.010852653617871343
562523.3,64.5,0.9896275522944239,0.010372447705576151
562523.3,65.5,0.9901653829161945,0.009834617083805536
562523.3,66.5,0.9908760876663913,0.00912391233360865
562523.3,67.5,0.991202627686752,0.00879737231324792
562523.3,68.5,0.9916252088895718,0.008374791110428152
562523.3,69.5,0.9917980830179981,0.008201916982001883
562523.3,70.5,0.9918749159639654,0.008125084036034652
562523.3,71.5,0.9921630395113424,0.007836960488657537
562523.3,72.5,0.9923935383492442,0.007606461650755844
562523.3,73.5,0.992508787768195,0.007491212231804998
562523.3,74.5,0.9926432454236377,0.007356754576362344
562523.3,75.5,0.9927584948425885,0.007241505157411498
562523.3,76.5,0.992816119552064,0.007183880447936075
562523.3,77.5,0.9928545360250476,0.007145463974952459
562523.3,78.5,0.993008201916982,0.006991798083017998
562523.3,79.5,0.9930466183899657,0.006953381610034383
562523.3,80.5,0.9931234513359328,0.006876548664067152
562523.3,81.5,0.9931810760454083,0.006818923954591729
562523.3,82.5,0.9932194925183919,0.0067805074816081135
562523.3,83.5,0.9932963254643591,0.006703674535640883
562523.3,84.5,0.9933731584103264,0.006626841589673652
562523.3,85.5,0.9934307831198018,0.006569216880198229
562523.3,86.5,0.9936804901941952,0.006319509805804729
562523.3,87.5,0.9937381149036707,0.006261885096329306
