Credit_Amt,number_of_Credit,new sam 0,new sam 1,information gain,recall,filter rate
300000.0,1.0,22996,29065,-0.0006627980170968509,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
400000.0,1.0,23591,28470,-0.0006626842099198213,0.0,1.0
405000.0,6.0,29057,23004,-0.00047008982764797785,0.0,1.0
515000.0,4.0,25250,26811,-0.000732528602098749,0.0,1.0
1360000.0,1.0,37686,14375,-0.0004535063804730552,0.0,1.0
300000.0,1.0,22996,29065,-0.0006627980170968509,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
49000.0,1.0,20417,31644,-0.0007965031400227265,0.0,1.0
437000.0,1.0,23892,28169,-0.0006745986697133735,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
29900.0,1.0,19939,32122,-0.0008369967047156326,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
210000.0,1.0,22490,29571,-0.000725942377800097,0.0,1.0
316000.0,2.0,23713,28348,-0.0007215559248200734,0.0,1.0
145755.0,2.0,22789,29272,-0.0006882462804351161,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
365000.0,1.0,23433,28628,-0.0006819454631648222,0.0,1.0
122600.0,1.0,21566,30495,-0.0007703712758707765,0.0,1.0
236717.0,6.0,28823,23238,-0.0004937063332229735,0.0,1.0
184982.0,1.0,22197,29864,-0.0007134600824785578,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
284000.0,3.0,24040,28021,-0.0007309824659188571,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
300000.0,1.0,22996,29065,-0.0006627980170968509,0.0,1.0
275000.0,4.0,24547,27514,-0.0008234475390187998,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
196000.0,1.0,22274,29787,-0.0007036975848660962,0.0,1.0
43000.0,1.0,20331,31730,-0.0008083917453453673,0.0,1.0
128000.0,3.0,23401,28660,-0.0007614451945832171,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
177500.0,2.0,23025,29036,-0.0006834142202546342,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
22000.0,1.0,19803,32258,-0.0008564607107626257,0.0,1.0
497600.0,10.0,36914,15147,-0.00015227883921008906,0.0,1.0
275900.0,6.0,28870,23191,-0.0004889178345188622,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
226000.0,1.0,22582,29479,-0.000714224747581739,0.0,1.0
723687.0,2.0,25638,26423,-0.0007357184580177104,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
439000.0,2.0,24264,27797,-0.0006539413850402409,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
81980.0,1.0,21014,31047,-0.0008459382271066643,0.0,1.0
470.0,1.0,18742,33319,-0.0008224268657350889,0.0,0.9996926682161311
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
400000.0,1.0,23591,28470,-0.0006626842099198213,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
769000.0,16.0,43383,8678,-6.388927886736423e-05,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
200000.0,1.0,22319,29742,-0.0007227873080631955,0.0,1.0
300000.0,1.0,22996,29065,-0.0006627980170968509,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
121000.0,1.0,21557,30504,-0.0007715708778325489,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
373821.0,1.0,23468,28593,-0.0006776528615073177,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
550000.0,6.0,29338,22723,-0.0004633614015948709,0.0,1.0
100000.0,2.0,22434,29627,-0.0007331268808276822,0.0,1.0
322950.0,3.0,24188,27873,-0.0007900370506626758,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
145627.0,5.0,25369,26692,-0.0007176946295553502,0.0,1.0
400000.0,1.0,23591,28470,-0.0006626842099198213,0.0,1.0
264000.0,1.0,22840,29221,-0.0006819274063720945,0.0,1.0
530000.0,1.0,24437,27624,-0.0007577516561624517,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
1529605.0,7.0,43320,8741,-0.00020926552139301224,0.0,1.0
446275.0,10.0,36876,15185,-0.0001546196644044498,0.0,1.0
346680.89,7.0,31655,20406,-0.0003671994775699336,0.0,1.0
200000.0,2.0,23160,28901,-0.0006911639113352935,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
363548.0,10.0,36836,15225,-0.00015710066115725424,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
290000.0,6.0,28893,23168,-0.0004865827778611151,0.0,1.0
100000.0,1.0,21193,30868,-0.0008209868881789775,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
89883.0,1.0,21082,30979,-0.0008364084901272481,0.0,1.0
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
0.0,0.0,1,52060,-1.4248889507878504e-07,1.0,1.9208236491807687e-05
142177.0,1.0,21780,30281,-0.0007421596994711468,0.0,1.0
74000.0,1.0,20920,31141,-0.0008592151995778299,0.0,1.0
157289.0,4.0,24241,27820,-0.0008370762024594303,0.0,1.0
172300.0,1.0,22116,29945,-0.0007238110648398535,0.0,1.0
100000.0,1.0,21193,30868,-0.0008209868881789775,0.0,1.0
343800.0,2.0,23825,28236,-0.0007075212713348392,0.0,1.0
