credit_amt,number_of_credit,new_sam_1,new_sam_0,information_gain
0,0,52060,1,1.42E-07
132500,4,27894,24167,0.000819692
0,0,52060,1,1.42E-07
332800,5,26359,25702,0.000727725
689000,16,8722,43339,6.60E-05
0,0,52060,1,1.42E-07
463000,1,28012,24049,0.000655639
491663,2,27570,24491,0.000675166
44840,2,30009,22052,0.000658736
0,0,52060,1,1.42E-07
1996000,20,2079,49982,3.49E-05
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
50000,1,31633,20428,0.00079499
401420,6,23009,29052,0.000470589
49000,2,29988,22073,0.000656165
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
360000,1,28662,23399,0.00068613
686088,11,13770,38291,0.000110529
338783,6,23111,28950,0.000480819
288400,12,13022,39039,0.000117478
0,0,52060,1,1.42E-07
21760,2,30209,21852,0.000683501
126450,1,30452,21609,0.000764655
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
209000,3,28280,23781,0.000764119
170495,8,18500,33561,0.000316141
511000,6,22820,29241,0.000451913
0,0,52060,1,1.42E-07
450000,1,28117,23944,0.000668287
337057,24,4476,47585,6.11E-05
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
193608,1,29809,22252,0.000706479
946599,2,24740,27321,0.000762956
1100000,1,20658,31403,0.000756018
227000,1,29476,22585,0.000713844
450000,1,28117,23944,0.000668287
1500000,1,11871,40190,0.000354083
200000,1,29742,22319,0.000722787
250000,1,29330,22731,0.000695472
200000,1,29742,22319,0.000722787
200000,1,29742,22319,0.000722787
810000,4,25577,26484,0.000708539
770000,1,26324,25737,0.000749406
400000,1,28470,23591,0.000662684
1640000,1,10098,41963,0.000283424
3360,1,33085,18976,0.000789194
450000,1,28117,23944,0.000668287
260000,1,29251,22810,0.00068564
408000,1,28300,23761,0.000690642
650000,2,26809,25252,0.000681655
100000,1,30868,21193,0.000820987
188000,1,29845,22216,0.000711044
700000,2,26567,25494,0.000753871
47000,1,31663,20398,0.000799121
427000,1,28223,23838,0.000681187
374390,11,13989,38072,0.000122617
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
920000,10,14274,37787,0.00012642
883475,4,25075,26986,0.000778285
175000,2,29042,23019,0.000684155
104500,2,29570,22491,0.000725814
0,0,52060,1,1.42E-07
565500,1,27442,24619,0.000760537
0,0,52060,1,1.42E-07
199805,5,26585,25476,0.000756157
298000,3,27983,24078,0.000726188
0,0,52060,1,1.42E-07
0,0,52060,1,1.42E-07
